,user.userId,commentId,user.nickname,content,timeStr,likedCount,ipLocation.location,time
0,5026544294,5836361297,林念水,回不去的何止是时间,01-17,1,四川,1673888663620
1,3332713900,5836359503,Eizzr,你又开始难过了 是在回忆吗,01-17,1,山东,1673888531628
2,3332713900,5836366746,Eizzr,我认为对付冷暴力的方式就是以冷制冷 不说话是吗 那就都别说了 ,01-17,1,山东,1673888526921
3,3332713900,5836364980,Eizzr,只是触碰身体又不是触碰灵魂 当然不能彻底拥有,01-17,0,山东,1673888523167
4,3332713900,5836363145,Eizzr,讨厌我们之间的关系,01-17,2,山东,1673888505343
5,3332713900,5836362110,Eizzr,我说痛的话 你会带我逃吗,01-17,5,山东,1673888482553
6,8284650492,5836358590,冰冷意_,你说的假话太多了我先睡了.,01-17,0,四川,1673888413492
7,1849536174,5836358512,喺啊豪hhh,听到这歌情绪一下子就低落了眼泪也不自觉的流出来 其实我有很多心事 这些话我没有告诉任何人 如果非要我讲 可惜也没有人可以在我身边听我唠嗑 那个她请您尽快出现吧别让我久等 当然有缘分的话 迟早都会遇到,01-17,2,广东,1673888367558
8,1346109826,5836354672,也记得_F,我也曾天真的以为过浪子会为我而回头,01-17,2,河南,1673888113579
9,601197453,5836358879,xxxy啊啊,哪有那么多如果[可爱],01-17,0,安徽,1673888060722
10,1773663213,5836353591,月亮不睡觉_TRas,说记得我的好。,01-17,1,江西,1673888043140
11,3378044479,5836358818,Kitzy,我们都很累 就不要再说难堪的话了,01-17,2,贵州,1673888012112
12,3332713900,5836358063,Eizzr,其实那晚你紧紧抱着我时 我就在想 就算万一哪天你真的伤害了我 那我也认了,01-17,2,山东,1673887974828
13,8063050434,5836351520,难言夜,"石光，下雪啦 我变了好多我想我不是以前那个只会等你消息的粘人精了 我变得不再那么烦人了 我也不要纠结你到底是不是真的喜欢我了没关系我的
妈妈爷爷奶奶和我的朋友都很喜欢我 这就够了 你要照顾好自己哦 不是贫血吗 要多吃糖奥 你出现的意义直到你离开的那天我都不懂 为什么你的收场就像没爱过我一样",01-17,1,安徽,1673887804522
14,8063050434,5836357781,难言夜,石光，下雪啦 我变了好多 我想我不是以前那个只会等你消息的粘人精了 我变得不再那么烦人了 我也不要纠结你到底是不是真的喜欢我了 没关系我的爸爸妈妈爷爷奶奶和我的朋友都很喜欢我 这就够了 你要照顾好自己哦 不是贫血吗 要多吃糖奥 你出现的意义直到你离开的那天我都不懂 为什么你的收场就像没爱过,01-17,0,安徽,1673887730400
15,554344665,5836356105,Ccluck_,张一帆 我喜欢你 只敢在这里说了 可惜你好像对我没有什么感觉 也是 谁会喜欢一个有yyz的人呢我们好久没有聊天了 你能不能回头看看我呢,01-17,1,广东,1673887721868
16,7993527300,5836355932,晚安小魚886_,"该怎么说呢我的情绪好像又回到了那段时间的时候这几天明明心情特别好但是今天一想到之前我还是忍不住流眼泪心情又不好了好难过快手上刷到了一些一些的伤感文案还是哭了我该分享给谁呢我心里想了一万遍却没有说出来的话很久的委屈和难过都会愿意会听吗我知道的
",01-17,4,河南,1673887573335
17,2098130013,5836353966,小熙alive,“有时间和妈妈谈谈心，妈妈会很认真听你那些伤心又伤心的叠加.”,01-17,0,浙江,1673887502301
18,3321245089,5836344247,帐号已注销,你不该来招惹我的 不知道我有多喜欢你 我没有安全感 得不到回应就会胡思乱想 我喜欢吃醋但一哄就好，可你从来都不愿意哄我，心甘情愿自己骗自己，我也只是一个受尽情绪折磨的普通人罢了，不知道你之前经历了什么你也不愿意和我说 和你在一起流了很多泪，对我的承诺也食言了 平安吧 没有我不希望你幸福,01-17,4,河南,1673887155538
19,1666281221,5836337037,土豆不是鸟OvO,我想了一大堆的如果，像鲜花盛放在几近风化的废墟上，没让我更开心，反倒是悲伤得多了,01-17,0,江西,1673886088641
20,8149908155,5836335914,冰释前嫌7_,我经常扮演一个无所谓的人 好像那样就可以守住我那可怜的尊严、,01-17,0,湖北,1673885967310
21,431274525,5836327603,瑞思摆selu,要学会自己一个人消化掉那些坏情绪,01-17,2,湖南,1673885766229
22,8149908155,5836330387,冰释前嫌7_,没关系 我活不长、,01-17,2,湖北,1673885752519
23,8149908155,5836332757,冰释前嫌7_,破碎的我  如何被爱、,01-17,0,湖北,1673885737562
24,7993527300,5836328363,晚安小魚886_,为爱弯腰不是我的性格 但是为你可以,01-17,0,河南,1673885639956
25,7993527300,5836327402,晚安小魚886_,倘若你心里没我 我把夜熬穿 掉再多的眼泪又有什么用,01-17,0,河南,1673885636062
26,7993527300,5836329223,晚安小魚886_,如果离开我 你能更幸福 那我希望我们南辕北辙,01-17,1,河南,1673885633200
27,3326675959,5836324992,姚小姚_O,不倔了回头看旧人越看越无情,01-17,0,贵州,1673885314521
