,user.userId,commentId,user.nickname,content,timeStr,likedCount,ipLocation.location,time
0,1332507602,5811688317,过来吃口饭,@島0311 最近喜欢听这个,2022-12-17,0,山东,1671283948847
1,431243156,5811690040,Whaoe1-,好讨厌他，因为觉得我好骗，所以才接近我的吗，最后他冷暴力，逼我离开，还装作很爱我的样子，别装深情，我知道你说谎啦。,2022-12-17,0,江苏,1671283920800
2,3959846336,5811683817,4caiu,你最了解我了 你当然知道怎么伤害我最痛了,2022-12-17,0,湖南,1671283272348
3,7804705656,5811677576,祈雪夜i,明天会不会好我不知道但最近真的苦苦的我都麻木了生活一团糟,2022-12-17,1,广西,1671283131606
4,289605417,5811674456,悥仄,我才不当谁的影子呢,2022-12-17,0,云南,1671282862070
5,3222045547,5811676107,相遇为失望,两个人在一起多多少少会有矛盾，你要想的是应该怎么好好相处下去，而不是考虑我们合不合适,2022-12-17,2,辽宁,1671282782750
6,634951664,5811671691,谁能因为一个名字去在意你呢,感情里的胜利者你骄傲吗,2022-12-17,0,甘肃,1671282732368
7,1533235646,5811672387,俺要考大学,服啦 能不能快好啊,2022-12-17,2,山东,1671282560538
8,1533235646,5811673907,俺要考大学,我怕传给家里人,2022-12-17,2,山东,1671282551297
9,1533235646,5811673295,俺要考大学,好像也没那么可怕,2022-12-17,2,山东,1671282542464
10,1533235646,5811668709,俺要考大学,真怕中招,2022-12-17,2,山东,1671282532207
11,1533235646,5811668679,俺要考大学,又发烧了……,2022-12-17,3,山东,1671282520413
12,3269902364,5811668369,还没睡iii,对你说尽了狠话 唯独没说过一句我不爱你,2022-12-17,1,河南,1671282332830
13,1474328652,5811664010,关于玲TuT,你是如何能够轻易做得到,2022-12-17,0,江苏,1671281752480
14,3371730743,5811656319,宋夢阳_SIL,我活不久了 你们替我去看海吧,2022-12-17,2,河南,1671281250891
15,5059309691,5811647529,感时花溅泪_Da,太阳不是突然就落山的 你是不是觉得 我永远都在莫名其妙的生气 觉得我总是揪着某件事不放 是因为过去的事情一直都没得到妥善的处理 明明委屈的是我才对 而不是你 你每次都忽略不在乎 都在用行动告诉我 我不重要 我的确不能太依赖你了 我只是想让你哄哄我 给我多一点安全感而已 就仅此而已 ,2022-12-17,1,内蒙古,1671281071811
16,8155980108,5811653389,少来烦我啊_,哭完擦擦鼻子继续爱,2022-12-17,2,河南,1671281022198
17,1445884266,5811648502,无痛的角色_,[强][强][强][强][强],2022-12-17,0,河北,1671280735124
18,3291376530,5811649283,旺仔想喝维他奶,还不释怀吗 不单指爱情。,2022-12-17,0,天津,1671280693987
19,6358866373,5811644056,---伤心荷包蛋,你说的话我替你抹去,2022-12-17,2,四川,1671280170563
