,user.userId,commentId,user.nickname,content,timeStr,likedCount,ipLocation.location,time
0,1465561696,5405611542,i又下雨啦,我来跟个风哈哈哈 写个我的小故事,2021-08-28,1047,,1630089555734
1,3866262821,5405611159,将夜半,好伤心啊，和她不能在一起了,2021-08-28,0,,1630089224175
2,2098685853,5405610071,经济独立的屎蛋,hi,2021-08-28,0,,1630088812669
3,3866262821,5405607407,将夜半,哭了半天,2021-08-28,2,,1630088639418
4,3385122731,5405606275,帐号已注销,涵 那就以朋友的名义祝你岁岁平安.,2021-08-28,0,,1630088157377
5,330546012,5405605864,藜念秋,聊天dd,2021-08-28,0,,1630087912849
6,1948541527,5405602068,帐号已注销,活着真的好累呀，注定又是一个不眠的夜晚,2021-08-28,2,,1630087411849
7,2075592153,5405602030,周的海,打了一晚上的电话 什么话都没说 ,2021-08-28,3,,1630087382148
8,3385122731,5405595586,帐号已注销,涵晚安,2021-08-28,1,,1630086743835
9,2059993927,5405593262,青石巷的雪,如果思念有声，那会是一场海啸吗,2021-08-28,9,,1630086291287
10,5089167333,5405589508,阿莫不会数学题,我已经哭了两天了。我哭不动了。好累。真的好累。,2021-08-28,7,,1630085977130
11,2092081542,5405586805,imicee,枕头里藏着发霉的梦 梦里住着无法拥有的人,2021-08-28,2,,1630085499522
12,3385122731,5405585440,帐号已注销,涵我该怎么把那么长的思念说出口,2021-08-28,0,,1630085469018
13,1694001686,5405585965,hannnn_TvT,那个冬天 我许愿那场雪能下久一点 让我和他在风雪里再困久一点 后来愿望成真了直到现在 我还困在里面,2021-08-28,0,,1630085403108
14,1694001686,5405584421,hannnn_TvT,陈，我好想你,2021-08-28,1,,1630085371276
15,3385122731,5405584403,帐号已注销,涵攒够了思念就见一面吧.,2021-08-28,0,,1630085360027
16,348553807,5405585845,Y_moon阿,爱不到就算了,2021-08-28,2,,1630085354988
17,3385122731,5405585123,帐号已注销,涵露出点马脚吧 让我知道你也在想我,2021-08-28,1,,1630085311279
18,3385122731,5405585097,帐号已注销,涵不出意外除了我没人能等你两三年,2021-08-28,0,,1630085296038
19,3385122731,5405585013,帐号已注销,涵你的出现让我难过好多年,2021-08-28,0,,1630085249716
20,3385122731,5405583100,帐号已注销,涵我不知道 真的没有理由找你了,2021-08-28,0,,1630085193263
21,1811279163,5405581641,舔歪一颗牙,我们都身处于茫茫人海中 身边的人来了又走 都希望有个如果呢,2021-08-28,1,,1630085070343
22,1406002179,5405571693,法海酱,你说好了要记得我的，千万别忘了我，都要一年了我还没忘记你,2021-08-28,0,,1630084150007
23,1650094954,5405564783,刘亦菲Wink,我还以为你跟其他人不一样呢 对我也不过如此,2021-08-28,0,,1630083141199
24,1772187764,5405553998,cchhiippss,高中生好累，不想开学,2021-08-28,0,,1630082515726
25,1688603244,5405553057,帐号已注销,有些东西吧 你想留你留不住呀,2021-08-28,2,,1630082391979
26,1696079638,5405538158,淩彗_,那么多的回忆 那么多的东西 真的说忘就能忘吗 真的说走就能走吗 为什么 你先挑起的 你自己说过那么多的事情那么多的话 那么多那么多 为什么到头来被泼凉水的是我 我好好对待 好好接受 为什么到头来还是我这样 为什么 凭什么 一闭眼脑海里想的全是回忆 手机里还留着遇到的那些点点滴滴 为什么 凭什么,2021-08-28,1,,1630081391499
27,1795204903,5405535712,她总腰疼还爱哭,07 双子座 喜欢白色 爱喝蜂蜜柚子茶 喜欢看小说和随笔 衣品一般 不爱吃饭 有低血糖 是这芸芸众生最普通的人 所以你想忘就早点忘了我吧,2021-08-28,1,,1630081305708
28,4953394046,5405534003,好久不见_P3FF,这次真的要好好读书我不会等你不合适的年纪遇见不合适的人就到此为止错的永远是错的,2021-08-28,0,,1630081078339
29,1696079638,5405531304,淩彗_,还要流多少眼泪才能证明你在我心里占据了全部位置.,2021-08-28,1,,1630080954348
30,624281857,5405529404,不和你讲道理,我投降，关于你的一切我都退让,2021-08-28,0,,1630080916034
31,4966832428,5405528611,0935-L,那就祝自己小病连连大病缠身早点消失.,2021-08-28,1,,1630080897165
32,1955171823,5405525496,xxxtentaczio,爱没有定义 你在 它就在,2021-08-28,1,,1630080722958
33,1517963041,5405526998,就叫江先森,1,2021-08-28,0,,1630080686118
34,2122610897,5405525288,ZOOZE-,吃的饱饱 安心早睡 祝你也祝我,2021-08-28,6,,1630080685278
35,438256836,5405520718,我开始找你了i,已经分不清是喜欢还是执念.,2021-08-28,1,,1630080519323
36,3340441011,5405521310,世界太魔怔,检 如果有反方向的钟呢 我们会重来吗,2021-08-28,2,,1630080501891
37,2054862996,5405510489,好sol,[多多大哭],2021-08-27,0,,1630079977937
38,326281808,5405507308,只想窝被窝,一大堆的所以然呢,2021-08-27,0,,1630079715019
39,540589482,5405507259,别试图,要开学了 你高三了 我还记得你说想考江西的大学是给你朋友说的 我记了好久 你肯定可以的 我好想谈恋爱我想上学也有人和你一样等着我想着我给我依靠 我又不想谈好像没有人和你一样陪我了我也害怕被丢掉,2021-08-27,2,,1630079700406
40,1782815939,5405506933,再听一遍小胡同,那些日子真实地流淌过我的生命，以至于每次被人提起，当时的情绪会瞬间折返，好像整个人都被拉回到过去。 ​​​,2021-08-27,1,,1630079615229
41,314547270,5405502243,檓灭,单曲循环的那首歌 大概是唱进了你心里吧,2021-08-27,6,,1630079352678
42,1287127903,5405498513,同听今里岁岁,三年过去了 为什么还是会想起你,2021-08-27,2,,1630079158816
43,2059568477,5405490037,一个笨蛋耶,"程，我很爱你，我知道你也很爱我，可 我们还是输了，被现实 距离 打败了，输得一败涂地，可我还是放不下你，真的好想好想你，放下真的好难啊，明明是你说不会离开的，明明是你说不会让我输的，会一直一直在的，可是……
这首歌，听五百七十遍，五百七十遍后，我就放弃了，就要把你忘了 要好好生活了…",2021-08-27,2,,1630078625004
44,5157983075,5405485218,潋Aan,如果我们没有遇见，就不会有这么多事,2021-08-27,2,,1630078334563
45,3403892356,5405479988,一只猪崽咯,爱是不会忘记的！,2021-08-27,1,,1630078031240
46,1764207998,5405470785,kk_kkkim,我可以相信一见钟情吗,2021-08-27,0,,1630077488420
47,3252413199,5405464202,悲伤的番茄炒蛋io,就算很难过，但嘴上还说着没事,2021-08-27,0,,1630077213345
48,1461779307,5405451829,還會想起我嗎-_,你不能一边说爱我又让我难过..,2021-08-27,4,,1630076513450
49,3301132148,5405447867,为情所困-77,记不清了 只记得她很好  她是我最难忘的女孩子  其实只要她平安喜乐  身边是不是我也不重要了,2021-08-27,3,,1630076264534
50,3261304945,5405446974,不伤心y,生气的时候不理你 跟你说睡觉了 就是关掉手机躺在床上发呆 时不时打开手机看看 抱怨你为什么还不找我 我一直都没变 我还是喜欢说反话 喜欢黏人 喜欢嘴硬 受了一点委屈就哭的胆小鬼 我这种人就算是再委屈 我也不会和你说 我只会一个人生闷气哭 再难过我也不会和你说 我只会一个人难过 你为什么就不懂呢,2021-08-27,2,,1630076190012
51,1846944101,5405436634,看海吗我陪你_,亲爱的周游，你那么美好，你惊艳了我好久，你好像一束光照进我心里，但我明白，这束光只是经过了我平凡的生活，他不会为我停留，我也不会奢望他为我停留，毕竟他那么美好，不应该属于这样的我，所以我决定慢慢释怀了，我对你从来都是爱慕我们都会越来越好的对吗？,2021-08-27,0,,1630075769292
52,1410199614,5405434608,睡个好觉做个好梦yu,可是哪有那么多如果呀,2021-08-27,1,,1630075611672
53,510147410,5405431072,黎彩猪,如果说是真的爱我，那为何都说不出口,2021-08-27,0,,1630075405005
54,1531540808,5405430822,ixy-iii,"“人们总靠分开后的痛觉来辨别爱意的深浅.”能认出我吗能看出我真的舍不得吗真的不喜欢我了吗还会听这首歌吗还看那个小说吗？金牛座和摩羯座原来还是会走散是吗。
能不能来找我，你开口第一句，剩下九句我讲就是了。
没有找到你的评论，所以自己评论一句。",2021-08-27,1,,1630075347108
55,1954818906,5405424251,彤彤头痛,那么多人喜欢你我好难过 如果她们都讨厌你就好了 这样我就能拉着你的手说她们都是坏人和我玩吧,2021-08-27,2,,1630074977477
56,1380914429,5405417521,山春花欲燃,“那就祝我们都能跟真诚的人硬碰硬，在这个欺骗，玩弄，背叛成为当代风潮的时代，希望永远有人带着真诚来爱你.”,2021-08-27,2,,1630074721250
57,3222748494,5405419905,书写情书予艳,为什么每次都是他提分手，为什么每次真心对待他付出永远得到的是敷衍和无济于事。,2021-08-27,1,,1630074660642
58,3222748494,5405413618,书写情书予艳,如果词不达意那就将爱藏在心里。,2021-08-27,1,,1630074512687
59,1810938505,5405410273,sweet_VYP9,听到这首歌就觉得难过,2021-08-27,1,,1630074255809
60,1781869846,5405410160,小瑶瑶瑶1,波 我真的一直都很喜欢你的 但是不知道为什么每次我跟你聊天我都很小心翼翼 我生怕惹你不开心了 怕你会烦我 我也好怕你突然那天就离开我不喜欢我了 所以我们不会因为新鲜感就分开对吗.,2021-08-27,4,,1630074230715
61,560367106,5405407990,秋山澪保护协会会长,如果没来找你就好了,2021-08-27,0,,1630074029682
62,2133925733,5405396519,懒羊洋懒大王,真的好难过,2021-08-27,4,,1630073506034
63,2109707967,5405393053,-来得及吗,好感动[流感] 真的有被惊艳到,2021-08-27,1,,1630073216173
64,1929002108,5405391223,你没油饼吧,这个世界很坏 每个人都在装 我信你 你别骗我,2021-08-27,0,,1630073191753
65,3392493645,5405391135,吃什么午饭,绪  求求你听完这首歌。听得懂我想对你说的话…,2021-08-27,2,,1630073170338
66,3916771326,5405386054,正在碎碎念念,谁先动情谁就会输,2021-08-27,1,,1630072892148
67,3261304945,5405373799,不伤心y,心情不好的时候听这首歌 是真的会破防,2021-08-27,3,,1630072230914
68,3261304945,5405370408,不伤心y,打着爱的名义对我挑三拣四 要求我收敛脾气 对我凶 有时候也不理我 我不明白 这是爱吗,2021-08-27,3,,1630072135002
